Team,BLK,PF,BLKPG,BLKP40M
Nadezhda,61,222,PPG,0.9
UMMC Ekaterinburg,60,218,4.4,0.9
Dynamo Kursk,59,221,4.3,0.8
Fenerbahce,43,198,4.2,0.6
CCC Polkowice,38,276,3.1,0.5
ESBVA-LM,38,257,2.7,0.5
BLMA,36,207,2.7,0.5
Mersin,36,222,2.6,0.5
Famila Schio,34,237,2.6,0.5
Uniqa Sopron,34,223,2.4,0.5
Bourges Basket,30,241,2.4,0.4
Hatay BB,29,236,2.1,0.4
Wisla Can-Pack,27,219,2.1,0.4
Perfumerias Avenida,25,235,1.9,0.4
CMB Cargo Uni Gysr,21,270,1.8,0.3
ZVVZ USK Praha,20,233,1.5,0.3
