Team,STL,STLPG,STLP40M
Perfumerias Avenida,163,PPG,2.3
BLMA,145,11.6,2.1
ESBVA-LM,145,10.4,2.1
Dynamo Kursk,129,10.4,1.8
UMMC Ekaterinburg,123,9.2,1.8
ZVVZ USK Praha,123,8.8,1.8
Nadezhda,117,8.8,1.7
Bourges Basket,113,8.4,1.6
Famila Schio,104,8.1,1.5
Wisla Can-Pack,103,7.4,1.5
CMB Cargo Uni Gysr,101,7.4,1.4
Uniqa Sopron,98,7.2,1.3
Fenerbahce,97,7.0,1.4
Mersin,96,6.9,1.4
CCC Polkowice,94,6.9,1.3
Hatay BB,86,6.7,1.2
