"Player (Team)","GP","MPG","PPG","PTS","FGM-FGA","FG%","3PM-3PA","3P%","FTM-FTA"
"Courtney PARIS (HATA)","vs CCC Polkowice 90-82, 26/10/2016","27","27","13-20","1-2","27","","",""
"vs Uniqa Sopron 98-95, 15/02/2017","33","26","26","12-20","2-5","26","","",""
"Yvonne TURNER (SOPR)","vs Perfumerias Avenida 77-68, 07/12/2016","26","26","6-10","5-6","26","","",""
"vs CCC Polkowice 90-82, 26/10/2016","31","26","26","7-10","3-3","26","","",""
"Yvonne TURNER (SOPR)","vs Hatay BB 95-98, 15/02/2017","26","26","6-8","2-5","26","","",""
"vs Perfumerias Avenida 77-68, 07/12/2016","30","26","26","2-3","4-5","26","","",""
"Yvonne TURNER (SOPR)","vs Dynamo Kursk 66-69, 07/12/2016","25","25","11-14","3-5","25","","",""
"vs Hatay BB 95-98, 15/02/2017","28","25","25","7-9","5-6","25","","",""
"Sonja PETROVIC (ZVVZ)","vs Nadezhda 88-81, 16/02/2017","25","25","11-17","3-3","25","","",""
"vs Dynamo Kursk 66-69, 07/12/2016","28","25","25","5-13","3-3","25","","",""
"Amanda ZAHUI (NADE)","vs Wisla Can-Pack 90-70, 18/01/2017","25","25","8-16","0-0","25","","",""
"vs Nadezhda 88-81, 16/02/2017","27","24","24","6-10","3-4","24","","",""
"Sonja PETROVIC (ZVVZ)","vs Uniqa Sopron 82-90, 26/10/2016","24","24","11-17","2-3","24","","",""
"vs Wisla Can-Pack 90-70, 18/01/2017","27","24","24","11-18","2-4","24","","",""
"Marija REZAN (CCC)","vs Uniqa Sopron 64-76, 11/01/2017","24","24","7-9","4-5","24","","",""
"vs Uniqa Sopron 82-90, 26/10/2016","26","23","23","5-7","4-4","23","","",""
"Isabelle HARRISON (CCC)","vs UMMC Ekaterinburg 83-72, 26/10/2016","23","23","7-11","9-11","23","","",""
"vs Uniqa Sopron 64-76, 11/01/2017","26","23","23","8-12","7-7","23","","",""
"Jelena MILOVANOVIC (AVEN)","vs Perfumerias Avenida 64-49, 04/01/2017","23","23","5-12","4-4","23","","",""
"vs UMMC Ekaterinburg 83-72, 26/10/2016","26","23","23","6-13","2-3","23","","",""
"Tiffany MITCHELL (NADE)","vs ESBVA-LM 71-83, 18/01/2017","23","23","3-6","5-6","23","","",""
"vs Perfumerias Avenida 64-49, 04/01/2017","26","23","23","7-12","0-0","23","","",""
"Tiffany MITCHELL (NADE)","vs Perfumerias Avenida 74-68, 12/01/2017","23","23","8-12","4-6","23","","",""
"vs ESBVA-LM 71-83, 18/01/2017","26","23","23","6-8","5-5","23","","",""
"Diana TAURASI (UMMC)","vs ESBVA-LM 72-71, 01/02/2017","23","23","5-7","7-8","23","","",""
"vs Perfumerias Avenida 74-68, 12/01/2017","25","23","23","4-7","0-0","23","","",""
"Courtney PARIS (HATA)","vs Wisla Can-Pack 84-63, 02/11/2016","22","22","4-10","2-2","22","","",""
"vs ESBVA-LM 72-71, 01/02/2017","25","22","22","8-11","6-7","22","","",""
"Sonja PETROVIC (ZVVZ)","vs Wisla Can-Pack 74-68, 04/01/2017","22","22","11-16","0-0","22","","",""
"vs Wisla Can-Pack 84-63, 02/11/2016","25","22","22","4-6","2-2","22","","",""
"Geraldine ROBERT (BLMA)","vs Bourges Basket 59-80, 25/01/2017","22","22","10-14","2-2","22","","",""
"vs Wisla Can-Pack 74-68, 04/01/2017","25","22","22","3-7","7-9","22","","",""
"Yvonne TURNER (SOPR)","vs Uniqa Sopron 89-69, 01/02/2017","22","22","7-9","2-2","22","","",""
"vs Bourges Basket 59-80, 25/01/2017","25","22","22","2-5","0-0","22","","",""
"Amanda ZAHUI (NADE)","vs Fenerbahce 73-75, 27/10/2016","22","22","5-9","3-3","22","","",""
"vs Uniqa Sopron 89-69, 01/02/2017","24","22","22","11-11","0-1","22","","",""
"Jolene ANDERSON (SCHI)","vs Bourges Basket 81-66, 30/11/2016","21","21","8-15","2-4","21","","",""
"vs Fenerbahce 73-75, 27/10/2016","24","","","","","","","",""
"Brittney GRINER (UMMC)","vs CCC Polkowice 90-82, 26/10/2016","","","","","","","",""
"vs Bourges Basket 81-66, 30/11/2016","24","","","","","","","",""
"Sara KRNJIC (SOPR)","vs Fenerbahce 71-75, 14/12/2016","","","","","","","",""
"vs CCC Polkowice 90-82, 26/10/2016","24","","","","","","","",""
"Sonja PETROVIC (ZVVZ)","vs ZVVZ USK Praha 70-90, 18/01/2017","","","","","","","",""
"vs Fenerbahce 71-75, 14/12/2016","23","","","","","","","",""
"Hind BEN ABDELKADER (WIS)","vs Bourges Basket 74-81, 26/10/2016","","","","","","","",""
"vs ZVVZ USK Praha 70-90, 18/01/2017","23","","","","","","","",""
"Clarissa DOS SANTOS (BOUR)","vs BLMA 69-63, 02/11/2016","","","","","","","",""
"vs Bourges Basket 74-81, 26/10/2016","23","","","","","","","",""
"Sandrine GRUDA (FENE)","vs Fenerbahce 72-69, 30/11/2016","","","","","","","",""
"vs BLMA 69-63, 02/11/2016","23","","","","","","","",""
"Angel MCCOUGHTRY (KURS)","vs Fenerbahce 86-79, 01/02/2017","","","","","","","",""
"vs Fenerbahce 72-69, 30/11/2016","23","","","","","","","",""
"Angel MCCOUGHTRY (KURS)","vs CCC Polkowice 81-60, 30/11/2016","","","","","","","",""
"vs Fenerbahce 86-79, 01/02/2017","23","","","","","","","",""
"Jelena MILOVANOVIC (AVEN)","vs Uniqa Sopron 84-67, 08/02/2017","","","","","","","",""
"vs CCC Polkowice 81-60, 30/11/2016","23","","","","","","","",""
"Jelena MILOVANOVIC (AVEN)","vs Famila Schio 75-76, 09/11/2016","","","","","","","",""
"vs Uniqa Sopron 84-67, 08/02/2017","23","","","","","","","",""
"Ziomara MORRISON (WIS)","vs Mersin 84-70, 18/01/2017","","","","","","","",""
"vs Famila Schio 75-76, 09/11/2016","23","","","","","","","",""
"Nnemkadi OGWUMIKE (KURS)","vs Famila Schio 74-73, 04/01/2017","","","","","","","",""
"vs Mersin 84-70, 18/01/2017","23","","","","","","","",""
"Sonja PETROVIC (ZVVZ)","vs CMB Cargo Uni Györ 91-61, 01/12/2016","","","","","","","",""
"vs Famila Schio 74-73, 04/01/2017","23","","","","","","","",""
"Meighan SIMMONS (WIS)","vs UMMC Ekaterinburg 64-73, 09/11/2016","","","","","","","",""
"vs CMB Cargo Uni Györ 91-61, 01/12/2016","22","","","","","","","",""
"Marina BAS (HATA)","vs Uniqa Sopron 82-56, 18/01/2017","","","","","","","",""
"vs UMMC Ekaterinburg 64-73, 09/11/2016","22","","","","","","","",""
"Brittney GRINER (UMMC)","vs Nadezhda 88-81, 16/02/2017","","","","","","","",""
"vs Uniqa Sopron 82-56, 18/01/2017","22","","","","","","","",""
"Brittney GRINER (UMMC)","vs UMMC Ekaterinburg 69-88, 07/12/2016","","","","","","","",""
"vs Nadezhda 88-81, 16/02/2017","22","","","","","","","",""
"Alina IAGUPOVA (ESBV)","vs Fenerbahce 73-89, 04/01/2017","","","","","","","",""
"vs UMMC Ekaterinburg 69-88, 07/12/2016","22","","","","","","","",""
"Jantel LAVENDER (FENE)","vs CMB Cargo Uni Györ 90-55, 04/01/2017","","","","","","","",""
"vs Fenerbahce 73-89, 04/01/2017","22","","","","","","","",""
"Angel MCCOUGHTRY (KURS)","vs Hatay BB 92-62, 02/11/2016","","","","","","","",""
"vs CMB Cargo Uni Györ 90-55, 04/01/2017","22","","","","","","","",""
"Jelena MILOVANOVIC (AVEN)","vs Perfumerias Avenida 68-64, 19/01/2017","","","","","","","",""
"vs Hatay BB 92-62, 02/11/2016","22","","","","","","","",""
"Katsiaryna SNYTSINA (HATA)","vs Bourges Basket 69-51, 22/02/2017","","","","","","","",""
"vs Perfumerias Avenida 68-64, 19/01/2017","22","","","","","","","",""
"Katsiaryna SNYTSINA (HATA)","vs CMB Cargo Uni Györ 90-55, 04/01/2017","","","","","","","",""
"vs Bourges Basket 69-51, 22/02/2017","22","","","","","","","",""
"Maria VADEEVA (KURS)","vs Bourges Basket 59-65, 18/01/2017","","","","","","","",""
"vs CMB Cargo Uni Györ 90-55, 04/01/2017","21","","","","","","","",""
"Jamierra Shante FAULKNER (CCC)","","","","","","","","",""
"vs Bourges Basket 59-65, 18/01/2017","","","","","","","","",""
